version,run_id,evidence_type,currency,basket_id,strategy,r,probability_role,unit_contribution,normalized_expected_contribution,delta_expected_vs_reference,delta_expected_vs_absorb
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,0.90,hypothetical_action,-3.0000,-2.700000,-2.700000,0.300000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,0.80,hypothetical_action,-3.0000,-2.400000,-2.400000,0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,0.70,hypothetical_action,-3.0000,-2.100000,-2.100000,0.900000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,1.00,hypothetical_action,-6.0000,-6.000000,-6.000000,-3.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,0.95,hypothetical_action,-6.0000,-5.700000,-5.700000,-2.700000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,0.90,hypothetical_action,-6.0000,-5.400000,-5.400000,-2.400000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,0.80,hypothetical_action,-6.0000,-4.800000,-4.800000,-1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,0.70,hypothetical_action,-6.0000,-4.200000,-4.200000,-1.200000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,REFERENCE,1.00,fixed_reference,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ABSORB,1.00,fixed_reference,-6.00,-6.0000,-6.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,1.00,hypothetical_action,-3.00,-3.0000,-3.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,0.95,hypothetical_action,-3.00,-2.8500,-2.8500,3.1500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,0.90,hypothetical_action,-3.00,-2.7000,-2.7000,3.3000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,0.80,hypothetical_action,-3.00,-2.4000,-2.4000,3.6000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,0.70,hypothetical_action,-3.00,-2.1000,-2.1000,3.9000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_FULL,1.00,hypothetical_action,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_FULL,0.95,hypothetical_action,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_FULL,0.90,hypothetical_action,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_FULL,0.80,hypothetical_action,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_FULL,0.70,hypothetical_action,0.00,0.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_SAME_CATEGORY,1.00,hypothetical_action,-6.0000,-6.000000,-6.000000,0.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_SAME_CATEGORY,0.95,hypothetical_action,-6.0000,-5.700000,-5.700000,0.300000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_SAME_CATEGORY,0.90,hypothetical_action,-6.0000,-5.400000,-5.400000,0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_SAME_CATEGORY,0.80,hypothetical_action,-6.0000,-4.800000,-4.800000,1.200000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_SAME_CATEGORY,0.70,hypothetical_action,-6.0000,-4.200000,-4.200000,1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_NEW_CATEGORY,1.00,hypothetical_action,-9.0000,-9.000000,-9.000000,-3.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_NEW_CATEGORY,0.95,hypothetical_action,-9.0000,-8.550000,-8.550000,-2.550000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_NEW_CATEGORY,0.90,hypothetical_action,-9.0000,-8.100000,-8.100000,-2.100000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_NEW_CATEGORY,0.80,hypothetical_action,-9.0000,-7.200000,-7.200000,-1.200000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ADD_NEW_CATEGORY,0.70,hypothetical_action,-9.0000,-6.300000,-6.300000,-0.300000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,REFERENCE,1.00,fixed_reference,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ABSORB,1.00,fixed_reference,-9.00,-9.0000,-9.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_HALF,1.00,hypothetical_action,-4.50,-4.5000,-4.5000,4.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_HALF,0.95,hypothetical_action,-4.50,-4.2750,-4.2750,4.7250
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_HALF,0.90,hypothetical_action,-4.50,-4.0500,-4.0500,4.9500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_HALF,0.80,hypothetical_action,-4.50,-3.6000,-3.6000,5.4000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_HALF,0.70,hypothetical_action,-4.50,-3.1500,-3.1500,5.8500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_FULL,1.00,hypothetical_action,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_FULL,0.95,hypothetical_action,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_FULL,0.90,hypothetical_action,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_FULL,0.80,hypothetical_action,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,PASS_FULL,0.70,hypothetical_action,0.00,0.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_SAME_CATEGORY,1.00,hypothetical_action,-9.0000,-9.000000,-9.000000,0.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_SAME_CATEGORY,0.95,hypothetical_action,-9.0000,-8.550000,-8.550000,0.450000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_SAME_CATEGORY,0.90,hypothetical_action,-9.0000,-8.100000,-8.100000,0.900000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_SAME_CATEGORY,0.80,hypothetical_action,-9.0000,-7.200000,-7.200000,1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_SAME_CATEGORY,0.70,hypothetical_action,-9.0000,-6.300000,-6.300000,2.700000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_NEW_CATEGORY,1.00,hypothetical_action,-12.0000,-12.000000,-12.000000,-3.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_NEW_CATEGORY,0.95,hypothetical_action,-12.0000,-11.400000,-11.400000,-2.400000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_NEW_CATEGORY,0.90,hypothetical_action,-12.0000,-10.800000,-10.800000,-1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_NEW_CATEGORY,0.80,hypothetical_action,-12.0000,-9.600000,-9.600000,-0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,ADD_NEW_CATEGORY,0.70,hypothetical_action,-12.0000,-8.400000,-8.400000,0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,REFERENCE,1.00,fixed_reference,2.00,2.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ABSORB,1.00,fixed_reference,-1.00,-1.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_HALF,1.00,hypothetical_action,0.50,0.5000,-1.5000,1.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_HALF,0.95,hypothetical_action,0.50,0.4750,-1.5250,1.4750
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_HALF,0.90,hypothetical_action,0.50,0.4500,-1.5500,1.4500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_HALF,0.80,hypothetical_action,0.50,0.4000,-1.6000,1.4000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_HALF,0.70,hypothetical_action,0.50,0.3500,-1.6500,1.3500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_FULL,1.00,hypothetical_action,2.00,2.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_FULL,0.95,hypothetical_action,2.00,1.9000,-0.1000,2.9000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_FULL,0.90,hypothetical_action,2.00,1.8000,-0.2000,2.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_FULL,0.80,hypothetical_action,2.00,1.6000,-0.4000,2.6000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,PASS_FULL,0.70,hypothetical_action,2.00,1.4000,-0.6000,2.4000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_SAME_CATEGORY,1.00,hypothetical_action,-0.5000,-0.500000,-2.500000,0.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_SAME_CATEGORY,0.95,hypothetical_action,-0.5000,-0.475000,-2.475000,0.525000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_SAME_CATEGORY,0.90,hypothetical_action,-0.5000,-0.450000,-2.450000,0.550000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_SAME_CATEGORY,0.80,hypothetical_action,-0.5000,-0.400000,-2.400000,0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_SAME_CATEGORY,0.70,hypothetical_action,-0.5000,-0.350000,-2.350000,0.650000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_NEW_CATEGORY,1.00,hypothetical_action,-3.5000,-3.500000,-5.500000,-2.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_NEW_CATEGORY,0.95,hypothetical_action,-3.5000,-3.325000,-5.325000,-2.325000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_NEW_CATEGORY,0.90,hypothetical_action,-3.5000,-3.150000,-5.150000,-2.150000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_NEW_CATEGORY,0.80,hypothetical_action,-3.5000,-2.800000,-4.800000,-1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,ADD_NEW_CATEGORY,0.70,hypothetical_action,-3.5000,-2.450000,-4.450000,-1.450000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,REFERENCE,1.00,fixed_reference,2.00,2.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ABSORB,1.00,fixed_reference,-4.00,-4.0000,-6.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_HALF,1.00,hypothetical_action,-1.00,-1.0000,-3.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_HALF,0.95,hypothetical_action,-1.00,-0.9500,-2.9500,3.0500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_HALF,0.90,hypothetical_action,-1.00,-0.9000,-2.9000,3.1000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_HALF,0.80,hypothetical_action,-1.00,-0.8000,-2.8000,3.2000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_HALF,0.70,hypothetical_action,-1.00,-0.7000,-2.7000,3.3000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_FULL,1.00,hypothetical_action,2.00,2.0000,0.0000,6.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_FULL,0.95,hypothetical_action,2.00,1.9000,-0.1000,5.9000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_FULL,0.90,hypothetical_action,2.00,1.8000,-0.2000,5.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_FULL,0.80,hypothetical_action,2.00,1.6000,-0.4000,5.6000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,PASS_FULL,0.70,hypothetical_action,2.00,1.4000,-0.6000,5.4000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_SAME_CATEGORY,1.00,hypothetical_action,-3.5000,-3.500000,-5.500000,0.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_SAME_CATEGORY,0.95,hypothetical_action,-3.5000,-3.325000,-5.325000,0.675000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_SAME_CATEGORY,0.90,hypothetical_action,-3.5000,-3.150000,-5.150000,0.850000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_SAME_CATEGORY,0.80,hypothetical_action,-3.5000,-2.800000,-4.800000,1.200000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_SAME_CATEGORY,0.70,hypothetical_action,-3.5000,-2.450000,-4.450000,1.550000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_NEW_CATEGORY,1.00,hypothetical_action,-6.5000,-6.500000,-8.500000,-2.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_NEW_CATEGORY,0.95,hypothetical_action,-6.5000,-6.175000,-8.175000,-2.175000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_NEW_CATEGORY,0.90,hypothetical_action,-6.5000,-5.850000,-7.850000,-1.850000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_NEW_CATEGORY,0.80,hypothetical_action,-6.5000,-5.200000,-7.200000,-1.200000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,ADD_NEW_CATEGORY,0.70,hypothetical_action,-6.5000,-4.550000,-6.550000,-0.550000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,REFERENCE,1.00,fixed_reference,2.00,2.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ABSORB,1.00,fixed_reference,-7.00,-7.0000,-9.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_HALF,1.00,hypothetical_action,-2.50,-2.5000,-4.5000,4.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_HALF,0.95,hypothetical_action,-2.50,-2.3750,-4.3750,4.6250
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_HALF,0.90,hypothetical_action,-2.50,-2.2500,-4.2500,4.7500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_HALF,0.80,hypothetical_action,-2.50,-2.0000,-4.0000,5.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_HALF,0.70,hypothetical_action,-2.50,-1.7500,-3.7500,5.2500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_FULL,1.00,hypothetical_action,2.00,2.0000,0.0000,9.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_FULL,0.95,hypothetical_action,2.00,1.9000,-0.1000,8.9000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_FULL,0.90,hypothetical_action,2.00,1.8000,-0.2000,8.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_FULL,0.80,hypothetical_action,2.00,1.6000,-0.4000,8.6000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,PASS_FULL,0.70,hypothetical_action,2.00,1.4000,-0.6000,8.4000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_SAME_CATEGORY,1.00,hypothetical_action,-6.5000,-6.500000,-8.500000,0.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_SAME_CATEGORY,0.95,hypothetical_action,-6.5000,-6.175000,-8.175000,0.825000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_SAME_CATEGORY,0.90,hypothetical_action,-6.5000,-5.850000,-7.850000,1.150000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_SAME_CATEGORY,0.80,hypothetical_action,-6.5000,-5.200000,-7.200000,1.800000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_SAME_CATEGORY,0.70,hypothetical_action,-6.5000,-4.550000,-6.550000,2.450000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_NEW_CATEGORY,1.00,hypothetical_action,-9.5000,-9.500000,-11.500000,-2.500000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_NEW_CATEGORY,0.95,hypothetical_action,-9.5000,-9.025000,-11.025000,-2.025000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_NEW_CATEGORY,0.90,hypothetical_action,-9.5000,-8.550000,-10.550000,-1.550000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_NEW_CATEGORY,0.80,hypothetical_action,-9.5000,-7.600000,-9.600000,-0.600000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,ADD_NEW_CATEGORY,0.70,hypothetical_action,-9.5000,-6.650000,-8.650000,0.350000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,REFERENCE,1.00,fixed_reference,4.00,4.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,ABSORB,1.00,fixed_reference,1.00,1.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_HALF,1.00,hypothetical_action,2.50,2.5000,-1.5000,1.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_HALF,0.95,hypothetical_action,2.50,2.3750,-1.6250,1.3750
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_HALF,0.90,hypothetical_action,2.50,2.2500,-1.7500,1.2500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_HALF,0.80,hypothetical_action,2.50,2.0000,-2.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_HALF,0.70,hypothetical_action,2.50,1.7500,-2.2500,0.7500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_FULL,1.00,hypothetical_action,4.00,4.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_FULL,0.95,hypothetical_action,4.00,3.8000,-0.2000,2.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_FULL,0.90,hypothetical_action,4.00,3.6000,-0.4000,2.6000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_FULL,0.80,hypothetical_action,4.00,3.2000,-0.8000,2.2000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,PASS_FULL,0.70,hypothetical_action,4.00,2.8000,-1.2000,1.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,ADD_SAME_CATEGORY,1.00,hypothetical_action,2.0000,2.000000,-2.000000,1.000000
