version,run_id,evidence_type,currency,basket_id,S0,m0,C0,L0,H0,strategy,S,C,L,H_strategy,f,fixed_charge,unit_contribution,delta_unit_vs_reference,delta_unit_vs_absorb
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,REFERENCE,20,14.00,4,2,0,0,2.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,ABSORB,20,14.00,4,2,3,6,-4.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,PASS_HALF,23.00,14.00,4,2,3,6,-1.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,PASS_FULL,26,14.00,4,2,3,6,2.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,ADD_SAME_CATEGORY,25.00,17.5000,5,2,3,6,-3.5000,-5.5000,0.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2,ADD_NEW_CATEGORY,25.00,17.5000,5,3,3,9,-6.5000,-8.5000,-2.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,REFERENCE,20,14.00,4,3,0,0,2.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,ABSORB,20,14.00,4,3,3,9,-7.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,PASS_HALF,24.50,14.00,4,3,3,9,-2.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,PASS_FULL,29,14.00,4,3,3,9,2.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,ADD_SAME_CATEGORY,25.00,17.5000,5,3,3,9,-6.5000,-8.5000,0.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3,ADD_NEW_CATEGORY,25.00,17.5000,5,4,3,12,-9.5000,-11.5000,-2.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,REFERENCE,20,12.00,4,1,0,0,4.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,ABSORB,20,12.00,4,1,3,3,1.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,PASS_HALF,21.50,12.00,4,1,3,3,2.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,PASS_FULL,23,12.00,4,1,3,3,4.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,ADD_SAME_CATEGORY,25.00,15.0000,5,1,3,3,2.0000,-2.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1,ADD_NEW_CATEGORY,25.00,15.0000,5,2,3,6,-1.0000,-5.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,REFERENCE,20,12.00,4,2,0,0,4.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,ABSORB,20,12.00,4,2,3,6,-2.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,PASS_HALF,23.00,12.00,4,2,3,6,1.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,PASS_FULL,26,12.00,4,2,3,6,4.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,ADD_SAME_CATEGORY,25.00,15.0000,5,2,3,6,-1.0000,-5.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2,ADD_NEW_CATEGORY,25.00,15.0000,5,3,3,9,-4.0000,-8.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,REFERENCE,20,12.00,4,3,0,0,4.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,ABSORB,20,12.00,4,3,3,9,-5.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,PASS_HALF,24.50,12.00,4,3,3,9,-0.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,PASS_FULL,29,12.00,4,3,3,9,4.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,ADD_SAME_CATEGORY,25.00,15.0000,5,3,3,9,-4.0000,-8.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3,ADD_NEW_CATEGORY,25.00,15.0000,5,4,3,12,-7.0000,-11.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,REFERENCE,40,32.00,4,1,0,0,4.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,ABSORB,40,32.00,4,1,3,3,1.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,PASS_HALF,41.50,32.00,4,1,3,3,2.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,PASS_FULL,43,32.00,4,1,3,3,4.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,ADD_SAME_CATEGORY,50.00,40.0000,5,1,3,3,2.0000,-2.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1,ADD_NEW_CATEGORY,50.00,40.0000,5,2,3,6,-1.0000,-5.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,REFERENCE,40,32.00,4,2,0,0,4.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,ABSORB,40,32.00,4,2,3,6,-2.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,PASS_HALF,43.00,32.00,4,2,3,6,1.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,PASS_FULL,46,32.00,4,2,3,6,4.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,ADD_SAME_CATEGORY,50.00,40.0000,5,2,3,6,-1.0000,-5.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2,ADD_NEW_CATEGORY,50.00,40.0000,5,3,3,9,-4.0000,-8.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,REFERENCE,40,32.00,4,3,0,0,4.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,ABSORB,40,32.00,4,3,3,9,-5.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,PASS_HALF,44.50,32.00,4,3,3,9,-0.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,PASS_FULL,49,32.00,4,3,3,9,4.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,ADD_SAME_CATEGORY,50.00,40.0000,5,3,3,9,-4.0000,-8.0000,1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3,ADD_NEW_CATEGORY,50.00,40.0000,5,4,3,12,-7.0000,-11.0000,-2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,REFERENCE,40,28.00,4,1,0,0,8.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,ABSORB,40,28.00,4,1,3,3,5.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,PASS_HALF,41.50,28.00,4,1,3,3,6.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,PASS_FULL,43,28.00,4,1,3,3,8.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,ADD_SAME_CATEGORY,50.00,35.0000,5,1,3,3,7.0000,-1.0000,2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1,ADD_NEW_CATEGORY,50.00,35.0000,5,2,3,6,4.0000,-4.0000,-1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,REFERENCE,40,28.00,4,2,0,0,8.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,ABSORB,40,28.00,4,2,3,6,2.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,PASS_HALF,43.00,28.00,4,2,3,6,5.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,PASS_FULL,46,28.00,4,2,3,6,8.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,ADD_SAME_CATEGORY,50.00,35.0000,5,2,3,6,4.0000,-4.0000,2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2,ADD_NEW_CATEGORY,50.00,35.0000,5,3,3,9,1.0000,-7.0000,-1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,REFERENCE,40,28.00,4,3,0,0,8.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,ABSORB,40,28.00,4,3,3,9,-1.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,PASS_HALF,44.50,28.00,4,3,3,9,3.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,PASS_FULL,49,28.00,4,3,3,9,8.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,ADD_SAME_CATEGORY,50.00,35.0000,5,3,3,9,1.0000,-7.0000,2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3,ADD_NEW_CATEGORY,50.00,35.0000,5,4,3,12,-2.0000,-10.0000,-1.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,REFERENCE,40,24.00,4,1,0,0,12.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,ABSORB,40,24.00,4,1,3,3,9.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,PASS_HALF,41.50,24.00,4,1,3,3,10.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,PASS_FULL,43,24.00,4,1,3,3,12.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,ADD_SAME_CATEGORY,50.00,30.0000,5,1,3,3,12.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1,ADD_NEW_CATEGORY,50.00,30.0000,5,2,3,6,9.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,REFERENCE,40,24.00,4,2,0,0,12.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,ABSORB,40,24.00,4,2,3,6,6.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,PASS_HALF,43.00,24.00,4,2,3,6,9.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,PASS_FULL,46,24.00,4,2,3,6,12.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,ADD_SAME_CATEGORY,50.00,30.0000,5,2,3,6,9.0000,-3.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2,ADD_NEW_CATEGORY,50.00,30.0000,5,3,3,9,6.0000,-6.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,REFERENCE,40,24.00,4,3,0,0,12.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,ABSORB,40,24.00,4,3,3,9,3.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,PASS_HALF,44.50,24.00,4,3,3,9,7.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,PASS_FULL,49,24.00,4,3,3,9,12.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,ADD_SAME_CATEGORY,50.00,30.0000,5,3,3,9,6.0000,-6.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3,ADD_NEW_CATEGORY,50.00,30.0000,5,4,3,12,3.0000,-9.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,REFERENCE,80,64.00,4,1,0,0,12.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,ABSORB,80,64.00,4,1,3,3,9.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,PASS_HALF,81.50,64.00,4,1,3,3,10.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,PASS_FULL,83,64.00,4,1,3,3,12.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,ADD_SAME_CATEGORY,100.00,80.0000,5,1,3,3,12.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1,ADD_NEW_CATEGORY,100.00,80.0000,5,2,3,6,9.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,REFERENCE,80,64.00,4,2,0,0,12.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,ABSORB,80,64.00,4,2,3,6,6.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,PASS_HALF,83.00,64.00,4,2,3,6,9.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,PASS_FULL,86,64.00,4,2,3,6,12.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,ADD_SAME_CATEGORY,100.00,80.0000,5,2,3,6,9.0000,-3.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2,ADD_NEW_CATEGORY,100.00,80.0000,5,3,3,9,6.0000,-6.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,REFERENCE,80,64.00,4,3,0,0,12.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,ABSORB,80,64.00,4,3,3,9,3.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,PASS_HALF,84.50,64.00,4,3,3,9,7.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,PASS_FULL,89,64.00,4,3,3,9,12.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,ADD_SAME_CATEGORY,100.00,80.0000,5,3,3,9,6.0000,-6.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3,ADD_NEW_CATEGORY,100.00,80.0000,5,4,3,12,3.0000,-9.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,REFERENCE,80,56.00,4,1,0,0,20.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,ABSORB,80,56.00,4,1,3,3,17.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,PASS_HALF,81.50,56.00,4,1,3,3,18.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,PASS_FULL,83,56.00,4,1,3,3,20.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,ADD_SAME_CATEGORY,100.00,70.0000,5,1,3,3,22.0000,2.0000,5.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1,ADD_NEW_CATEGORY,100.00,70.0000,5,2,3,6,19.0000,-1.0000,2.0000
